epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,3705.29,0.05679,0.00048,0.01178,0.10387,0.57023,0.99953,1,0.995,0.88223,0.99953,1,0.995,0.995,0.0584,0.00029,0.0025,0.10715,0.52566,0.0011915,0.0011915,0.0011915
51,3779.27,0.06063,0.00042,0.00502,0.10788,0.56403,0.9995,1,0.995,0.90069,0.9995,1,0.995,0.995,0.05382,0.0003,0.00076,0.10272,0.51773,0.001175,0.001175,0.001175
52,3853.21,0.0573,0.00046,0.01124,0.10533,0.5597,0.99951,1,0.995,0.91894,0.99951,1,0.995,0.995,0.04852,0.00034,0.00039,0.09686,0.51404,0.0011585,0.0011585,0.0011585
53,3926.93,0.05757,0.00042,0.00281,0.10237,0.55637,0.9996,1,0.995,0.89901,0.9996,1,0.995,0.995,0.05498,0.00028,0.00011,0.09869,0.5202,0.001142,0.001142,0.001142
54,4000.78,0.05769,0.00039,0.01517,0.10185,0.56104,0.99959,1,0.995,0.89852,0.99959,1,0.995,0.995,0.05407,0.00025,0.00012,0.09911,0.51909,0.0011255,0.0011255,0.0011255
55,4074.73,0.05633,0.00039,0.00364,0.10144,0.56423,0.99978,1,0.995,0.90104,0.99978,1,0.995,0.995,0.05652,0.00025,0.00052,0.10335,0.52308,0.001109,0.001109,0.001109
56,4148.55,0.05598,0.00037,0.0129,0.10052,0.55838,0.99852,1,0.995,0.89929,0.99852,1,0.995,0.995,0.05539,0.0003,0.00068,0.10409,0.52068,0.0010925,0.0010925,0.0010925
57,4222.38,0.05635,0.00046,0.01,0.1044,0.56466,0.99954,1,0.995,0.89462,0.99954,1,0.995,0.995,0.05557,0.00043,0.00076,0.10429,0.51761,0.001076,0.001076,0.001076
58,4296.23,0.05568,0.00039,0.00855,0.09976,0.54874,0.99963,1,0.995,0.90699,0.99963,1,0.995,0.995,0.05039,0.0003,0.00019,0.09722,0.51614,0.0010595,0.0010595,0.0010595
59,4370.12,0.05295,0.00034,0.00052,0.09814,0.55802,0.99956,1,0.995,0.90527,0.99956,1,0.995,0.995,0.04854,0.00028,0.00012,0.09317,0.51238,0.001043,0.001043,0.001043
60,4444.14,0.05495,0.00031,0.01108,0.09999,0.56014,0.99954,1,0.995,0.89325,0.99954,1,0.995,0.995,0.05224,0.00033,0.00031,0.09993,0.51674,0.0010265,0.0010265,0.0010265
61,4517.97,0.05976,0.00034,0.01162,0.10837,0.56309,0.99908,1,0.995,0.9102,0.99908,1,0.995,0.995,0.0476,0.0003,0.00394,0.09802,0.51025,0.00101,0.00101,0.00101
62,4591.76,0.05555,0.00041,0.0059,0.10009,0.56142,0.99964,1,0.995,0.8968,0.99964,1,0.995,0.995,0.05379,0.00027,0.00033,0.10176,0.51662,0.0009935,0.0009935,0.0009935
63,4665.71,0.05726,0.00039,0.0091,0.10305,0.5629,1,0.99194,0.995,0.92286,1,0.99194,0.995,0.995,0.04676,0.00051,0.00374,0.10268,0.51347,0.000977,0.000977,0.000977
64,4739.42,0.056,0.00046,0.02722,0.10216,0.56436,1,0.99914,0.995,0.90945,1,0.99914,0.995,0.995,0.04881,0.00035,0.0017,0.09885,0.51434,0.0009605,0.0009605,0.0009605
65,4813.18,0.05497,0.00034,0.00601,0.09916,0.55917,0.99953,0.99265,0.995,0.90775,0.99953,0.99265,0.995,0.995,0.05035,0.00028,0.00404,0.10095,0.51535,0.000944,0.000944,0.000944
66,4886.89,0.05968,0.00037,0.00893,0.10574,0.56378,0.99769,1,0.995,0.90653,0.99769,1,0.995,0.995,0.05051,0.00042,0.00641,0.1045,0.5149,0.0009275,0.0009275,0.0009275
67,4960.77,0.05604,0.00042,0.00961,0.09981,0.5699,0.99923,1,0.995,0.917,0.99923,1,0.995,0.995,0.04859,0.00042,0.00352,0.09696,0.51361,0.000911,0.000911,0.000911
68,5034.52,0.05561,0.00037,0.00201,0.0978,0.55871,1,0.99919,0.995,0.88707,1,0.99919,0.995,0.995,0.05658,0.00035,0.00062,0.09676,0.52061,0.0008945,0.0008945,0.0008945
69,5108.25,0.0535,0.00034,0.00176,0.09402,0.54957,1,0.99975,0.995,0.92135,1,0.99975,0.995,0.995,0.04654,0.00028,0.0003,0.09227,0.51019,0.000878,0.000878,0.000878
70,5182.12,0.05612,0.00034,0.00741,0.09552,0.56218,0.99975,1,0.995,0.90813,0.99975,1,0.995,0.995,0.05105,0.00026,0.00015,0.09194,0.51579,0.0008615,0.0008615,0.0008615
71,5255.98,0.05382,0.00031,0.00115,0.09515,0.56035,1,0.99946,0.995,0.91436,1,0.99946,0.995,0.995,0.04948,0.00034,0.00097,0.09617,0.51311,0.000845,0.000845,0.000845
72,5329.86,0.05522,0.00039,0.00088,0.09848,0.5643,0.99941,0.99265,0.995,0.89953,0.99941,0.99265,0.995,0.995,0.05138,0.00035,0.00135,0.09755,0.5138,0.0008285,0.0008285,0.0008285
73,5403.23,0.05437,0.00048,0.00794,0.09758,0.5579,1,0.9996,0.995,0.91263,1,0.9996,0.995,0.995,0.04929,0.00045,0.00122,0.09515,0.511,0.000812,0.000812,0.000812
74,5476.77,0.05422,0.00041,0.00443,0.09616,0.55793,0.99999,1,0.995,0.90181,0.99999,1,0.995,0.995,0.05196,0.00046,0.00037,0.09515,0.5167,0.0007955,0.0007955,0.0007955
75,5550.13,0.05251,0.00037,0.00051,0.09237,0.5583,0.99993,1,0.995,0.9185,0.99993,1,0.995,0.995,0.04657,0.00035,0.00053,0.09379,0.51025,0.000779,0.000779,0.000779
76,5623.66,0.05265,0.00031,0.00041,0.0919,0.55992,0.99979,1,0.995,0.90762,0.99979,1,0.995,0.995,0.05114,0.00029,0.00031,0.09277,0.51494,0.0007625,0.0007625,0.0007625
77,5697.54,0.05245,0.0003,0.00483,0.09115,0.55771,1,0.99909,0.995,0.88072,1,0.99909,0.995,0.995,0.0571,0.00021,0.00026,0.1013,0.52197,0.000746,0.000746,0.000746
78,5771.2,0.05112,0.00029,0.0001,0.09165,0.55927,0.99988,1,0.995,0.91481,0.99988,1,0.995,0.995,0.05065,0.00024,0.00013,0.09445,0.51524,0.0007295,0.0007295,0.0007295
79,5844.85,0.05184,0.0003,0.0004,0.09076,0.55708,0.99977,1,0.995,0.91987,0.99977,1,0.995,0.995,0.04644,0.00022,0.00029,0.08634,0.51068,0.000713,0.000713,0.000713
80,5918.61,0.05169,0.0003,0.00552,0.09164,0.55395,0.99963,1,0.995,0.92656,0.99963,1,0.995,0.995,0.04553,0.00022,0.00027,0.0889,0.50775,0.0006965,0.0006965,0.0006965
81,5992.02,0.05282,0.00028,0.00154,0.09152,0.56107,0.99951,1,0.995,0.92744,0.99951,1,0.995,0.995,0.04429,0.00024,0.00024,0.08776,0.5077,0.00068,0.00068,0.00068
82,6065.78,0.05113,0.00028,0.00066,0.09043,0.55622,0.9995,1,0.995,0.9093,0.9995,1,0.995,0.995,0.05085,0.00025,0.00017,0.09036,0.51444,0.0006635,0.0006635,0.0006635
83,6139.43,0.04923,0.00028,0.00346,0.08826,0.55354,0.99926,1,0.995,0.91526,0.99926,1,0.995,0.995,0.04758,0.00025,0.00036,0.09015,0.51026,0.000647,0.000647,0.000647
84,6213.43,0.05005,0.00027,0.0036,0.09,0.55954,1,0.99966,0.995,0.91655,1,0.99966,0.995,0.995,0.04721,0.00031,0.00032,0.0903,0.51039,0.0006305,0.0006305,0.0006305
